station,latitude,longitude,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,temperature_degree_c,qc_flag_temperature_degree_c
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 10:15:00,2,2.074,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 10:30:00,2,2.101,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 10:45:00,2,2.155,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 11:00:00,2,2.155,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 11:15:00,2,2.155,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 11:30:00,2,2.155,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 11:45:00,2,2.128,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 12:00:00,2,2.155,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 12:15:00,2,2.209,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 12:30:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 12:45:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 13:00:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 13:15:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 13:30:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 13:45:00,2,2.262,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 14:00:00,2,2.289,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 14:15:00,2,2.316,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 14:30:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 14:45:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 15:00:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 15:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 15:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 15:45:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 16:00:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 16:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 16:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 16:45:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 17:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 17:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 17:30:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 17:45:00,2,2.316,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 18:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 18:15:00,2,2.316,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 18:30:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 18:45:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 19:00:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 19:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 19:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 19:45:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 20:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 20:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 20:30:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 20:45:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 21:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 21:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 21:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 21:45:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 22:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 22:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 22:30:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 22:45:00,2,2.423,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 23:00:00,2,2.423,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 23:15:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 23:30:00,2,2.477,Pass
